단어,한국수어사전 URL,수형 사진 URL,수형 설명,수어 동영상 URL (MP4)
답/대답,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=23933,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151218/230344/IMG000224029_700X466.jpg,오므려 세운 오른손을 입 앞에서 밖으로 향하게 하여 약간 내밀며 손을 벌려 편다.(상대방에게 답을 하는 경우),http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200901/739060/MOV000251190_700X466.mp4
그냥/그저,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=23922,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151214/227986/IMG000220998_700X466.jpg,가볍게 쥔 오른 주먹을 코앞에서 펼치며 왼쪽으로 내린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191101/633208/MOV000248783_700X466.mp4
대립/대치,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=23846,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151126/216780/IMG000207996_700X466.jpg,손끝을 맞대고 둥글게 쥔 두 손의 손끝을 맞대며 약간 위로 올린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009764/MOV000360061_700X466.mp4
신선하다/새롭다/새/신,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=12919,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/236021/IMG000231366_700X466.jpg,두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626512/MOV000257153_700X466.mp4
오세아니아,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=12895,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151227/235329/IMG000230514_700X466.jpg,"오른손을 ‘ㅇ’ 모양으로 둥글게 쥐고, 수평으로 올린 왼팔 위에서 상하로 흔들며 왼 손등으로 이동시킨다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040295/MOV000360697_700X466.mp4
황홀/휘황하다/휘황찬란하다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=12518,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151128/218273/IMG000209743_700X466.jpg,두 손을 손끝이 얼굴로 향하게 하여 붙였다 뗐다 하며 왼쪽으로 엇갈리게 돌린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733671/MOV000241169_700X466.mp4
못생기다/못나다/추하다/밉다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=12482,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151129/218565/IMG000210107_700X466.jpg,얼굴 앞에서 오므렸던 오른손을 얼굴 쪽으로 끌어들이며 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632426/MOV000241430_700X466.mp4
잃어버리다/분실/잃다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=12458,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151116/210765/IMG000200960_700X466.jpg,오른 주먹을 오른쪽 허리에서 뒤로 약간 내리며 손가락을 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009706/MOV000360016_700X466.mp4
식장,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11823,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/235834/IMG000231156_700X466.jpg,"손등이 아래로 향하게 가볍게 쥔 두 주먹을 위로 올리며 손가락을 활짝 편 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈춘다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009679/MOV000359989_700X466.mp4
홍콩,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11120,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151121/213766/IMG000204550_700X466.jpg,오른 주먹의 1·2지를 펴서 끝이 콧구멍을 향하게 하여 밀어 올리는 동작을 두 번 반복한다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041782/MOV000360843_700X466.mp4
대답/답,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=23933,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151218/230344/IMG000224029_700X466.jpg,오므려 세운 오른손을 입 앞에서 밖으로 향하게 하여 약간 내밀며 손을 벌려 편다.(상대방에게 답을 하는 경우),http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200901/739060/MOV000251190_700X466.mp4
신호등,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10794,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/236171/IMG000231566_700X466.jpg,손바닥이 옆으로 향하게 편 두 손의 손목을 ‘X’자로 맞대고 아래로 내리면서 손가락을 두 번 오므렸다 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630948/MOV000257311_700X466.mp4
보물/보석/보화,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10624,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151222/232756/IMG000227163_700X466.jpg,손등이 위로 향하게 편 왼손의 손가락 등에 오른손의 손등을 대고 손끝을 두 번 오므렸다 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005872/MOV000359874_700X466.mp4
전달/전갈/전하다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10605,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/236331/IMG000231790_700X466.jpg,가볍게 쥔 왼 주먹 등에 같은 모양의 오른 주먹 등을 대고 밖으로 내밀며 오른 주먹을 활짝 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627805/MOV000257498_700X466.mp4
터뜨리다/폭발/폭파,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10526,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151115/210224/IMG000200275_700X466.jpg,두 손의 손가락을 오므려 맞댔다가 위로 빠르게 올리며 활짝 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735248/MOV000234655_700X466.mp4
레바논,None,None,None,None
화산,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10229,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213278/IMG000203950_700X466.jpg,"왼 주먹의 2지를 펴서 등이 밖으로 향하게 세우고, 오른 손가락을 모아 끝이 위로 향하게 하여 왼손의 2지 끝에서 위로 올리며 손가락을 편다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735031/MOV000237306_700X466.mp4
보석상,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9794,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20210217/813654/IMG000358455_700X466.jpg,"손등이 위로 향하게 편 왼손의 손가락 등에 오른손의 손등을 대고 손끝을 오므렸다 펴고, 두 손을, 1·5지 끝을 맞대어 동그라미를 만들어 가슴 앞에서 전후로 엇갈리게 움직인 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 벌린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201229/792741/MOV000357964_700X466.mp4
겹치다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9714,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151205/222409/IMG000214529_700X466.jpg,두 손을 둥글게 쥐고 그 끝을 턱 밑 양쪽에 댔다가 양옆으로 내리며 손가락을 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735024/MOV000260214_700X466.mp4
